"","Indicator","Database","n","Mean","Min","Q_25","Q_75","Max"
"1","Cropland","This study",11,1546.62589815151,1429.7969100368,1545.37084,1560,1600.953207
"2","Cropland","IPCC AR6 v1.1",35,1571.59593412443,1458.0221,1550.3365,1584.605,1680.9228
"3","Pasture","This study",11,3272.87749788828,3102.8,3253.59505,3314.36065099448,3378.63
"4","Pasture","IPCC AR6 v1.1",31,3365.92623669911,3185.7966,3258.0963,3456.4159,3456.4159
"5","Water","This study",6,2636.47532269028,2402.05238764977,2541.68422580165,2742.64,2889
"6","Water","AQUASTAT (2015)",1,2700,Inf,NA,NA,-Inf
"7","CH4","This study",9,145.938728688895,138.291935546794,141.46514415741,150.4,154.69
"8","CH4","IPCC AR6 v1.1",37,154.907209664715,138.9364,148.361831936163,165.874635100365,168.219864649531
"9","N2O","This study",7,6689.29301640176,6180,6223.20523287568,6954,8022.019
"10","N2O","IPCC AR6 v1.1",36,7017.85431702904,6404.437,6559.6721,7731.42814771293,8027.76989627418
"11","Nfert","This study",8,102.629939566286,100.4863712,100.757416015625,103.680475008894,106
"12","Nfert","Springmann et al. (2018)",1,103.7,Inf,NA,NA,-Inf
"13","Pfert","This study",6,18.0063585393661,17.3584449690543,17.8487687210036,18.220203573,18.7685640611354
"14","Pfert","Springmann et al. (2018)",1,17.8,Inf,NA,NA,-Inf
