"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","N2O","Rum_feed_grass","All_feed_water","Plant_kcal_GHG","Yield","GHG_eff_N2O","Organic","rstand"
"20","Chang et al. (2021)","2030","GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",6.33644549849057,-0.857149001509433,-0.0448255516002163,0.0514428584842481,0.239720638073123,0.261093226319758,0.31055900621118,0,0,-1.9517917154397
"33","Chang et al. (2021)","2050","GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",6.33644549849057,-0.857149001509433,-0.2710109800892,0.328209175159869,0.776468081226516,0.595923305941896,0.483578260869565,0.44557201998217,0,-1.77976027865767
"39","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Yield)",8.022019,0.828424500000001,0.650922430632093,0.812083277662155,0.807412689262687,0.548581554140418,0.5,0,0,0.670959061081714
"41","Conijn et al. (2018)","2050","BIOSPACS","Agriculture","(+Loss)",8.022019,0.828424500000001,0.0531028896380321,0.812083277662155,0.807412689262687,0.548581554140418,0,0.394819002090639,0,-1.05592427927672
"101","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_100Org_W50",5.02397601469034,-2.16961848530966,-0.51238519232097,0.0158326919998604,-1,0.492821678591555,0.102439024390244,0,1,-2.48262183517116
"113","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_100Org_W50_CCyes",5.02397601469034,-2.16961848530966,-0.529148152910489,-0.0196855523596894,-1,0.492999473066754,0.131707317073171,0,1,-2.71797231963261
"114","Muller et al. (2017)","2050","SOLm","Agriculture","0Conc_0Org_W50_CCyes",5.02397601469034,-2.16961848530966,-0.229198986657631,-0.088724068164984,-1,0.501829932001612,0.331707317073171,0,0,-2.18723854826021
"119","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_0Org",5.02397601469034,-2.16961848530966,0.14174225582121,0.1018080793062,-0.908574491379074,0.615736925778775,0.0902439024390245,0,0,2.89088838339747
"126","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_100Org_W50",5.02397601469034,-2.16961848530966,-0.320206315788256,0.0390285890713276,-0.716063648648424,0.408606362172539,0.363414634146342,0,1,-1.51955388003921
"138","Muller et al. (2017)","2050","SOLm","Agriculture","50Conc_100Org_W50_CCyes",5.02397601469034,-2.16961848530966,-0.335045846249027,0.123560683788943,-0.625253575888662,0.40813224357201,0.336585365853659,0,1,-2.01859499170624
"166","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","No productivity gains after 2010",5.123,-2.0705945,0.439256674079077,0.855411247997623,0.548745022318597,0.531476173363463,0,0,0,-0.87040332135071
"168","Searchinger et al. (2018)","2050","GlobAgri-WRR","Agriculture","Coordinated effort",5.123,-2.0705945,0.220054655190442,0.339837559369927,0.276252140883692,0.465189716072132,0.245996751353849,0.2333,0,1.00184275621337
"256","Stehfest et al. (2009)","2045","IMAGE 2.4","Agriculture","Reference - 450ppm",4.057,-3.1365945,-0.00866449287384993,0.428975024076376,0.656400390316758,0.681128128012489,0.514977230127854,0.236812144212524,0,-1.94165678405489
"261","Stehfest et al. (2009)","2050","IMAGE 2.4","Agriculture","Reference",4.057,-3.1365945,0.274781868747793,0.452607212603211,0.708940102020982,0.73743862694279,0.588921282798834,0,0,-1.82639404691237
"266","Stehfest et al. (2009)","2050","IMAGE 2.4","Agriculture","Reference - 450ppm",4.057,-3.1365945,-0.0221815948016839,0.452607212603211,0.708940102020982,0.737232108622697,0.588018301009166,0.256928838951311,0,-2.33792511165408
"285","Stevanovic et al. (2017)","2050","MAgPIE 3","Agriculture","Preference-based mitigation",7.351,0.1574055,-0.141041498244443,-0.218082649913788,0.349245295067338,0.342780333659578,0.175086918577251,0,0,-1.84395381081812
"289","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+bau (0.7+G+FAO+RICH+bau)",5.76,-1.4335945,0.310057733671297,0.25258367915857,2.678137184158,0.799382722110702,0.411985018726592,0.0331043030229697,0,-1.94469104096428
"292","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-RICH+mono (0.7+G+FAO+RICH+mono)",5.76,-1.4335945,0.215163724372644,-1,5.08482265693874,0.799382722110702,0.411985018726592,0.0433078594206654,0,-1.57939323568328
"293","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+rumi (0.7+G+HY+BAU+rumi)",5.76,-1.4335945,0.462447116057123,0.460261158155473,0.254802502564341,0.719453346702561,0.539325842696629,-0.0234039316811389,0,2.42431672348292
"294","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+rumi (0.7+G+YGC+BAU+rumi)",5.76,-1.4335945,0.317309858580927,0.460261158155473,0.254802502564341,0.719453346702561,0.771535580524345,0.0769258269141959,0,2.78287412374169
"329","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-BAU+bau (0.7+R+FAO+BAU+bau)",5.76,-1.4335945,0.125466589169858,0.556976998314306,0.301285762805142,0.719453346702561,0.411985018726592,0.028013555457958,0,-2.31026599513977
