"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","N2O","Rum_meat_kcal_GHG","Dairy_kcal_GHG","Non_rum_kcal_GHG","Plant_kcal_GHG","Yield","GHG_eff_N2O","Organic"
"27","Chang et al. (2021)",2040,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",6.33644549849057,-0.857149001509433,-0.254381439869345,-0.023516730352158,0.319464588218207,0.176164869453124,0.35104463600267,0.329192546583851,0,0
"33","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",6.33644549849057,-0.857149001509433,-0.2710109800892,0.315187581302502,0.708837563007736,0.833506642228542,0.595923305941896,0.483578260869565,0.44557201998217,0
"34","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:Combined_CC:None_Nboundary:No_constrain",6.33644549849057,-0.857149001509433,-0.496528847540732,-0.103462692158109,0.181812894042733,0.0869450025131702,0.407815832254707,0.341614906832298,0,0
"39","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",8.022019,0.828424500000001,0.650922430632093,0.814845955652802,0.705092339517884,0.802978662595083,0.548581554140418,0.5,0,0
"41","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",8.022019,0.828424500000001,0.0531028896380321,0.814845955652802,0.705092339517884,0.802978662595083,0.548581554140418,0,0.394819002090639,0
"101","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_100Org_W50",5.02397601469034,-2.16961848530966,-0.51238519232097,-0.180857550034328,-0.126532956146973,-0.867835477995272,0.492821678591555,0.102439024390244,0,1
"113","Muller et al. (2017)",2050,"SOLm","Agriculture","0Conc_100Org_W50_CCyes",5.02397601469034,-2.16961848530966,-0.529148152910489,-0.210008526901433,-0.156509931616485,-0.867609143685378,0.492999473066754,0.131707317073171,0,1
"119","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_0Org",5.02397601469034,-2.16961848530966,0.14174225582121,-0.00954356457703986,0.0122066982567839,-0.858586097951892,0.615736925778775,0.0902439024390245,0,0
"126","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_100Org_W50",5.02397601469034,-2.16961848530966,-0.320206315788256,-0.0865449385087472,-0.0218804410355077,-0.422349585689843,0.408606362172539,0.363414634146342,0,1
"138","Muller et al. (2017)",2050,"SOLm","Agriculture","50Conc_100Org_W50_CCyes",5.02397601469034,-2.16961848530966,-0.335045846249027,-0.0103916068468369,0.0555965176705924,-0.277041120351352,0.40813224357201,0.336585365853659,0,1
"166","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","No productivity gains after 2010",5.123,-2.0705945,0.439256674079077,0.862967953743291,0.674696740582215,0.694912594451136,0.531476173363463,0,0,0
"168","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","Coordinated effort",5.123,-2.0705945,0.220054655190442,0.364783479374088,0.389875072745619,0.340365448939576,0.465189716072132,0.245996751353849,0.2333,0
"256","Stehfest et al. (2009)",2045,"IMAGE 2.4","Agriculture","Reference - 450ppm",4.057,-3.1365945,-0.00866449287384993,0.468473923589351,1.06978696828637,0.68934326244768,0.681128128012489,0.514977230127854,0.236812144212524,0
"261","Stehfest et al. (2009)",2050,"IMAGE 2.4","Agriculture","Reference",4.057,-3.1365945,0.274781868747793,0.497058224151786,1.21395492327779,0.735241255466722,0.73743862694279,0.588921282798834,0,0
"266","Stehfest et al. (2009)",2050,"IMAGE 2.4","Agriculture","Reference - 450ppm",4.057,-3.1365945,-0.0221815948016839,0.497058224151786,1.21395492327779,0.735241255466722,0.737232108622697,0.588018301009166,0.256928838951311,0
"285","Stevanovic et al. (2017)",2050,"MAgPIE 3","Agriculture","Preference-based mitigation",7.351,0.1574055,-0.141041498244443,-0.174971392512995,0.173369443951743,-0.374556996392676,0.342780333659578,0.175086918577251,0,0
"293","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-BAU+rumi (0.7+G+HY+BAU+rumi)",5.76,-1.4335945,0.462447116057123,0.74632206434449,1.99435953511191,-1,0.719453346702561,0.539325842696629,-0.0234039316811389,0
"294","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-BAU+rumi (0.7+G+YGC+BAU+rumi)",5.76,-1.4335945,0.317309858580927,0.74632206434449,1.99435953511191,-1,0.719453346702561,0.771535580524345,0.0769258269141959,0
"295","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-BAU+rumi (0.7+G+FAO+BAU+rumi)",5.76,-1.4335945,0.384549556389776,0.74632206434449,1.99435953511191,-1,0.719453346702561,0.411985018726592,0.0309125250034098,0
"307","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-MEAT+bau (0.7+G+Org+MEAT+bau)",5.76,-1.4335945,-0.0748901699943241,-0.265810179514501,2.18505391079677,0.537815263403211,0.340853703311647,0.119850187265918,0.179971714627168,1
"311","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-MEAT+mono (0.7+G+Org+MEAT+mono)",5.76,-1.4335945,-0.211451099196152,-1,-1,2.86323545554381,0.340853703311647,0.119850187265918,0.243052483655036,1
"329","Theurl et al. (2020)",2050,"BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-BAU+bau (0.7+R+FAO+BAU+bau)",5.76,-1.4335945,0.125466589169858,0.486205055200491,1.56161580014585,0.302961756912838,0.719453346702561,0.411985018726592,0.028013555457958,0
