"","Study","ScenYear","Model","Scope","Scenario..author.code.","Water.scope","Initial_condition","Delta_initial","Water","Population","Rum_meat_kcal_FCR_FCF","Non_rum_kcal_FCR_FCF","Dairy_kcal_FCR_FCF","Vegetal_kcal","Yield","WUEinc"
"1","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Baseline (combined)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.2026189461003,0.267090275115077,-0.15112926608844,-0.171657833422284,-1,-0.0548114319303853,-1,0
"2","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Increased protein (from animal sources)","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,0.340394432548294,0.267090275115077,0.281957097799991,-0.171657833422284,-1,0.0587756071825813,-1,0
"4","Damerau et al. (2016)",2050,"Damerau et al. (2016)","Agriculture","2050 Macro-nutrient shift","Water Footprint Network - Mekonnen & Hoekstra (2011)",1448.16850237,-358.83149763,-0.096983325947157,0.267090275115077,0.606678222526763,0.54729259571326,-1,-0.191267426216178,-1,0
"27","Davis et al. (2016)",2025,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.433926753860757,0.182698116798426,-0.390243902439024,-0.220518182421661,0.106430155210644,-0.0587962052585169,0,0
"29","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.600961232357082,0.232667189183218,0.204878048780488,0.167392239808057,0.273558758314859,-0.019818335258918,0,0
"31","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.571408978469271,0.232667189183218,-0.512195121951219,-0.286561775420388,0.139689578713972,-0.0771700194018045,0,0
"32","Davis et al. (2016)",2030,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0381835278848495,0.232667189183218,-0.512195121951219,-0.386662777540499,0.413248337028824,-0.0565826295260863,0,0
"33","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","B","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.742298098777049,0.279268862392796,0.253658536585367,0.206505823844948,0.338691796008873,-0.0245369865110416,0,0
"34","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.630513486244894,0.279268862392796,-0.317073170731708,-0.28269510738795,0.533259423503324,0.017615922753792,0,0
"35","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S2","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.708891203077785,0.279268862392796,-0.634146341463415,-0.351086792874697,0.172949002217293,-0.0955438335450923,0,0
"36","Davis et al. (2016)",2035,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.0176254382237633,0.279268862392796,-0.634146341463415,-0.468258939969632,0.511640798226165,-0.0700546841751546,0,0
"37","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,0.747437621192321,0.322465967102278,-0.378048780487806,-0.337014868163325,0.635809312638586,0.0210036002064431,0,0
"38","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.00807217385259429,0.322465967102278,-0.75609756097561,-0.549862221981298,0.610033259423507,-0.0835267388242231,0,0
"39","Davis et al. (2016)",2045,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.0414790695518592,0.361933706923202,-0.878048780487805,-0.631515273265299,0.708425720620842,-0.0969987934732898,0,0
"40","Davis et al. (2016)",2050,"Davis et al. (2016)","Food","S3","Water Footprint Network - Mekonnen & Hoekstra (2011)",778.28243109018,-1028.71756890982,-0.0807776855308936,0.397415283990603,-1,-0.713243181230174,0.806818181818183,-0.110470848122358,0,0
"41","Ercin & Hoekstra (2014)",2050,"Ercin & Hoekstra (2014)","Agriculture","S1","Water Footprint Network - Mekonnen & Hoekstra (2011)",794.146,-1012.854,0.37167095219267,0.319489174670357,0.905228758169935,0.259797305636124,0.831081081081081,0.0637867616987489,0,0.0917584035933876
"98","Graham et al. (2018)",2040,"GCAM","Agriculture","SSP 1 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.483066418005765,0.210657192575406,-1,-1,-1,0.0568129979456435,0.341287850141341,0.149239957976049
"102","Graham et al. (2018)",2040,"GCAM","Agriculture","SSP 5 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.4995554074664,0.219027407192576,-1,-1,-1,0.0568129979456435,0.352722759805288,0.162830831447955
"108","Graham et al. (2018)",2045,"GCAM","Agriculture","SSP 1 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.567689862038243,0.224206496519722,-1,-1,-1,0.0642539069748123,0.392185728208343,0.171963694570837
"112","Graham et al. (2018)",2045,"GCAM","Agriculture","SSP 5 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.572803984386208,0.235214762180975,-1,-1,-1,0.0642539069748123,0.403310737017532,0.187972631199411
"118","Graham et al. (2018)",2050,"GCAM","Agriculture","SSP 1 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.639991456965664,0.230571055684455,-1,-1,-1,0.0709806998343707,0.444209110255925,0.194665881880398
"122","Graham et al. (2018)",2050,"GCAM","Agriculture","SSP 5 Water constrained","GCAM (WFN/AQUASTAT)",1069.96875352,-737.03124648,0.633016260000848,0.244812064965197,-1,-1,-1,0.0709806998343707,0.454601061999214,0.212967150370004
"163","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org","FAO AQUASTAT 2013",1371.32,-435.68,0.588031969197562,0.369906431404335,0.0108450147842456,0.0293281106853143,0.0819217257043121,0.0760545100584038,0.326829268292683,0
"164","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org","FAO AQUASTAT 2013",1371.32,-435.68,0.590533208879036,0.369906431404335,-0.00423631728170171,0.0999147793597999,0.0399650920808254,0.0674453817867187,0.373170731707317,0
"165","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_60Org","FAO AQUASTAT 2013",1371.32,-435.68,0.590569670098883,0.369906431404335,0.0798676421846594,0.170639201486899,0.137906895983389,0.0703006705602423,0.170731707317073,0
"166","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_40Org","FAO AQUASTAT 2013",1371.32,-435.68,0.591284310007876,0.369906431404335,0.0631024479622162,0.129258269138461,0.120607459653076,0.0727233398226259,0.209756097560976,0
"167","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_20Org","FAO AQUASTAT 2013",1371.32,-435.68,0.592451069042966,0.369906431404335,0.0478960369106138,0.0915754017721344,0.105043823113765,0.0747999134760977,0.246341463414634,0
"168","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org_W50","FAO AQUASTAT 2013",1371.32,-435.68,0.588031969197562,0.369906431404335,0.0108450147842456,0.0293281106853143,0.0819217257043121,0.0760545100584038,0.327190791219512,0
"173","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_80Org_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.575102820639967,0.369906431404335,-0.0384656941438565,0.1117693119169,0.00472151983709646,0.0653255461821327,0.34574398902439,0
"177","Muller et al. (2017)",2050,"SOLm","Agriculture","100Conc_0Org_W50_CCyes","FAO AQUASTAT 2013",1371.32,-435.68,0.588031969197562,0.369906431404335,0.0108450147842456,0.0293281106853143,0.0819217257043121,0.0760545100584038,0.327190791219512,0
"202","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0212192837656079,0.448260806287294,0.192616389065772,0.181527048356848,0.0593541601674565,0.013145276371598,0.420351434660392,0.233343326088586
"229","Springmann et al. (2018)",2050,"EAT-Lancet","Food","TECH_p + QW + BAU + SSP3","IMPACT 3",1807.07799547358,0.0779954735799038,-0.0215817959333953,0.448260806287294,0.192616389065772,0.181527048356848,0.0593541601674565,0.013145276371598,0.529577464788732,0.23234561193135
"268","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Baseline+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.611996937775531,0.337285016232746,0.484955573505655,0.28371437523301,1.1670470505618,0.0425146992311172,0.39821596,-0.0171945704441513
"270","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","LPJmL",1022.59777602863,-784.40222397137,0.69150109500474,0.337285016232746,0.945880452342488,0.260325630006107,1.44023876404494,0.0425146992311172,0.40906935,-0.014802646408097
"277","Weindl et al. (2017)",2050,"MAgPIE 3","Agriculture","DEMI-Divergence + YIELD","LPJmL",1022.59777602863,-784.40222397137,0.122635858787179,0.337285016232746,-0.148323909531502,-0.237463787678129,0.270482209737828,0.171867933061963,0.34535062,0.0204712984163788
